embedding,probe,score,conformal,alpha,eval,n_cal,n_eval,marginal_cov,tb_cov,nontb_cov,mean_size,singleton,empty,disparity,marg_lo95,marg_hi95,tb_lo95,tb_hi95
torchxrayvision,linear,isotonic,APS,0.1,pakistan_ext,1260,3008,0.2909,0.1447,1.0,1.0,1.0,0.0,0.8553,,,,
torchxrayvision,linear,isotonic,Mondrian,0.1,tbx11k_test,1260,5879,0.9241,0.9302,0.9235,1.6219,0.3781,0.0,0.0067,0.9204,0.9306,0.8909,0.9302
torchxrayvision,linear,isotonic,Mondrian,0.1,pakistan_ext,1260,3008,0.8627,0.8565,0.893,1.4734,0.5266,0.0,0.0365,,,,
torchxrayvision,linear,isotonic,APS,0.2,tbx11k_test,1260,5879,0.8369,0.0125,0.9235,0.8898,0.8898,0.1102,0.911,0.8369,0.8369,0.0125,0.0125
torchxrayvision,linear,isotonic,APS,0.2,pakistan_ext,1260,3008,0.1948,0.0509,0.893,0.6526,0.6526,0.3474,0.8421,,,,
torchxrayvision,linear,isotonic,Mondrian,0.2,tbx11k_test,1260,5879,0.8239,0.8909,0.8169,1.3609,0.6391,0.0,0.074,0.7942,0.9204,0.7138,0.8909
torchxrayvision,linear,isotonic,Mondrian,0.2,pakistan_ext,1260,3008,0.7786,0.8079,0.6362,1.2377,0.7623,0.0,0.1718,,,,
torchxrayvision,mlp,raw,APS,0.05,tbx11k_test,1260,5879,0.9549,1.0,0.9502,1.9229,0.0771,0.0,0.0498,0.9422,0.9644,0.9982,1.0
torchxrayvision,mlp,raw,APS,0.05,pakistan_ext,1260,3008,0.9501,0.9996,0.7101,1.6034,0.3966,0.0,0.2895,,,,
torchxrayvision,mlp,raw,Mondrian,0.05,tbx11k_test,1260,5879,0.9541,0.9463,0.9549,1.5782,0.4218,0.0,0.0086,0.9391,0.9641,0.9141,0.9624
torchxrayvision,mlp,raw,Mondrian,0.05,pakistan_ext,1260,3008,0.9209,0.9579,0.7412,1.5911,0.4089,0.0,0.2167,,,,
torchxrayvision,mlp,raw,APS,0.1,tbx11k_test,1260,5879,0.8995,0.9821,0.8908,1.769,0.231,0.0,0.0913,0.8811,0.919,0.9785,0.9928
torchxrayvision,mlp,raw,APS,0.1,pakistan_ext,1260,3008,0.8783,0.9908,0.3327,1.3614,0.6386,0.0,0.6581,,,,
torchxrayvision,mlp,raw,Mondrian,0.1,tbx11k_test,1260,5879,0.9053,0.9141,0.9043,1.3802,0.6198,0.0,0.0098,0.8802,0.9199,0.8676,0.9428
torchxrayvision,mlp,raw,Mondrian,0.1,pakistan_ext,1260,3008,0.8411,0.9354,0.3833,1.3454,0.6546,0.0,0.5522,,,,
torchxrayvision,mlp,raw,APS,0.2,tbx11k_test,1260,5879,0.8098,0.932,0.797,1.3378,0.6622,0.0,0.135,0.7879,0.8277,0.9195,0.9463
torchxrayvision,mlp,raw,APS,0.2,pakistan_ext,1260,3008,0.8045,0.9495,0.1012,1.1479,0.8521,0.0,0.8483,,,,
torchxrayvision,mlp,raw,Mondrian,0.2,tbx11k_test,1260,5879,0.8088,0.7925,0.8105,1.052,0.948,0.0,0.018,0.7874,0.8306,0.7156,0.8694
torchxrayvision,mlp,raw,Mondrian,0.2,pakistan_ext,1260,3008,0.7031,0.8252,0.1109,1.0449,0.9551,0.0,0.7143,,,,
torchxrayvision,mlp,isotonic,APS,0.05,tbx11k_test,1260,5879,0.9553,0.5295,1.0,1.1371,0.8629,0.0,0.4705,0.9493,0.9697,0.4669,0.6816
torchxrayvision,mlp,isotonic,APS,0.05,pakistan_ext,1260,3008,0.6659,0.597,1.0,1.6004,0.3996,0.0,0.403,,,,
torchxrayvision,mlp,isotonic,Mondrian,0.05,tbx11k_test,1260,5879,0.973,0.9928,0.9709,1.9202,0.0798,0.0,0.022,0.9476,0.973,0.9338,0.9928
torchxrayvision,mlp,isotonic,Mondrian,0.05,pakistan_ext,1260,3008,0.9727,0.996,0.8599,1.7141,0.2859,0.0,0.1361,,,,
torchxrayvision,mlp,isotonic,APS,0.1,tbx11k_test,1260,5879,0.9029,0.0769,0.9897,0.9927,0.9927,0.0073,0.9127,0.8956,0.9267,0.0,0.229
torchxrayvision,mlp,isotonic,APS,0.1,pakistan_ext,1260,3008,0.256,0.1055,0.9864,0.9648,0.9648,0.0352,0.8809,,,,
torchxrayvision,mlp,isotonic,Mondrian,0.1,tbx11k_test,1260,5879,0.9195,0.9338,0.918,1.4775,0.5225,0.0,0.0158,0.9002,0.9252,0.8694,0.9928
torchxrayvision,mlp,isotonic,Mondrian,0.1,pakistan_ext,1260,3008,0.8677,0.9503,0.4669,1.4182,0.5818,0.0,0.4834,,,,
torchxrayvision,mlp,isotonic,APS,0.2,tbx11k_test,1260,5879,0.8175,0.0,0.9034,0.8621,0.8621,0.1379,0.9034,0.8175,0.8308,0.0,0.0
torchxrayvision,mlp,isotonic,APS,0.2,pakistan_ext,1260,3008,0.0652,0.0,0.3813,0.3986,0.3986,0.6014,0.3813,,,,
torchxrayvision,mlp,isotonic,Mondrian,0.2,tbx11k_test,1260,5879,0.8338,0.8229,0.835,1.1158,0.8842,0.0,0.0121,0.8338,0.8401,0.8229,0.8694
torchxrayvision,mlp,isotonic,Mondrian,0.2,pakistan_ext,1260,3008,0.7307,0.8512,0.1459,1.1031,0.8969,0.0,0.7053,,,,
dinov2,linear,raw,APS,0.05,tbx11k_test,1260,5879,0.9503,0.9857,0.9466,1.8845,0.1155,0.0,0.0391,0.9396,0.9604,0.9857,0.9893
dinov2,linear,raw,APS,0.05,pakistan_ext,1260,3008,0.9714,0.9679,0.9883,1.5688,0.4312,0.0,0.0204,,,,
dinov2,linear,raw,Mondrian,0.05,tbx11k_test,1260,5879,0.9502,0.9249,0.9528,1.6675,0.3325,0.0,0.028,0.9369,0.9565,0.8962,0.9696
dinov2,linear,raw,Mondrian,0.05,pakistan_ext,1260,3008,0.9232,0.9098,0.9883,1.488,0.512,0.0,0.0785,,,,
