embedding,fpr,tpr
rad_dino,0.631015,0.987478
rad_dino,0.631015,0.989267
rad_dino,0.67782,0.989267
rad_dino,0.678195,0.989267
rad_dino,0.694925,0.989267
rad_dino,0.695301,0.989267
rad_dino,0.707707,0.989267
rad_dino,0.707707,0.991055
rad_dino,0.723684,0.991055
rad_dino,0.72406,0.991055
rad_dino,0.728759,0.991055
rad_dino,0.729135,0.991055
rad_dino,0.737594,0.991055
rad_dino,0.737594,0.992844
rad_dino,0.769173,0.992844
rad_dino,0.769173,0.994633
rad_dino,0.858271,0.994633
rad_dino,0.858271,0.996422
rad_dino,0.987782,0.996422
rad_dino,0.987782,0.998211
rad_dino,0.991917,0.998211
rad_dino,0.991917,1.0
rad_dino,1.0,1.0
biomedclip,0.0,0.0
biomedclip,0.0,0.001789
biomedclip,0.0,0.010733
biomedclip,0.000188,0.010733
biomedclip,0.000188,0.012522
biomedclip,0.000376,0.012522
biomedclip,0.000376,0.019678
biomedclip,0.000564,0.019678
biomedclip,0.000564,0.030411
biomedclip,0.000752,0.030411
biomedclip,0.000752,0.042934
biomedclip,0.00094,0.042934
biomedclip,0.00094,0.048301
biomedclip,0.001504,0.048301
biomedclip,0.001504,0.050089
biomedclip,0.001692,0.050089
biomedclip,0.001692,0.060823
biomedclip,0.002256,0.060823
biomedclip,0.002256,0.062612
biomedclip,0.002444,0.062612
biomedclip,0.002444,0.06619
biomedclip,0.00282,0.06619
biomedclip,0.00282,0.067979
biomedclip,0.003008,0.067979
biomedclip,0.003008,0.075134
biomedclip,0.003759,0.075134
biomedclip,0.003759,0.078712
biomedclip,0.003947,0.078712
biomedclip,0.003947,0.084079
biomedclip,0.004511,0.084079
biomedclip,0.004511,0.091234
biomedclip,0.004887,0.091234
biomedclip,0.004887,0.100179
biomedclip,0.005075,0.100179
biomedclip,0.005075,0.107335
biomedclip,0.005451,0.107335
biomedclip,0.005451,0.109123
biomedclip,0.005639,0.109123
biomedclip,0.005639,0.110912
biomedclip,0.005827,0.110912
biomedclip,0.005827,0.112701
biomedclip,0.006203,0.112701
biomedclip,0.006203,0.11449
biomedclip,0.006767,0.11449
biomedclip,0.006767,0.118068
biomedclip,0.006955,0.118068
biomedclip,0.006955,0.119857
biomedclip,0.007707,0.119857
biomedclip,0.007707,0.123435
biomedclip,0.007895,0.123435
biomedclip,0.007895,0.125224
biomedclip,0.008271,0.125224
biomedclip,0.008271,0.13059
biomedclip,0.008459,0.13059
biomedclip,0.008459,0.132379
biomedclip,0.008647,0.132379
biomedclip,0.008647,0.137746
biomedclip,0.009023,0.137746
biomedclip,0.009023,0.146691
biomedclip,0.009211,0.146691
biomedclip,0.009211,0.148479
biomedclip,0.009398,0.148479
biomedclip,0.009398,0.150268
biomedclip,0.009962,0.150268
biomedclip,0.009962,0.152057
biomedclip,0.01015,0.152057
biomedclip,0.01015,0.153846
biomedclip,0.010338,0.153846
biomedclip,0.010338,0.155635
biomedclip,0.010902,0.155635
biomedclip,0.010902,0.157424
biomedclip,0.011278,0.157424
biomedclip,0.011278,0.159213
biomedclip,0.011654,0.159213
biomedclip,0.011654,0.161002
biomedclip,0.01203,0.161002
biomedclip,0.01203,0.162791
biomedclip,0.012594,0.162791
biomedclip,0.012594,0.16458
biomedclip,0.012782,0.16458
biomedclip,0.012782,0.166369
biomedclip,0.013722,0.166369
biomedclip,0.013722,0.169946
biomedclip,0.014286,0.169946
biomedclip,0.014286,0.173524
biomedclip,0.014474,0.173524
biomedclip,0.014474,0.177102
biomedclip,0.014662,0.177102
biomedclip,0.014662,0.182469
biomedclip,0.01485,0.182469
biomedclip,0.01485,0.184258
biomedclip,0.015038,0.184258
biomedclip,0.015038,0.186047
biomedclip,0.015226,0.186047
biomedclip,0.015226,0.187835
biomedclip,0.015414,0.187835
biomedclip,0.015414,0.191413
biomedclip,0.015602,0.191413
biomedclip,0.015602,0.193202
biomedclip,0.015789,0.193202
biomedclip,0.015789,0.194991
biomedclip,0.015977,0.194991
biomedclip,0.015977,0.19678
biomedclip,0.016729,0.19678
biomedclip,0.016729,0.198569
biomedclip,0.017293,0.198569
biomedclip,0.017293,0.203936
biomedclip,0.018045,0.203936
biomedclip,0.018045,0.207513
biomedclip,0.019173,0.207513
biomedclip,0.019173,0.209302
biomedclip,0.019925,0.209302
biomedclip,0.019925,0.211091
biomedclip,0.020865,0.211091
biomedclip,0.020865,0.21288
biomedclip,0.021617,0.21288
biomedclip,0.021617,0.216458
biomedclip,0.021805,0.216458
biomedclip,0.021805,0.220036
biomedclip,0.021992,0.220036
biomedclip,0.021992,0.221825
biomedclip,0.02218,0.221825
biomedclip,0.02218,0.225403
biomedclip,0.022556,0.225403
